"nr","cod LMI","val","SIRUTA_judet","judet","SIRUTA_UAT","rang","UAT","SIRUTA","localitate","denumire","adresa","latitudine","longitudine","cota","cod postal","stare generală","program","tipul monumentului","datare","tipul patrimoniului","observatii"
954,"CJ-II-s-B-07464","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Parcul luliu Hațieganu","Aleea Tineretului 7",46.766161,23.561595,347,400376,"Stare bună","Amenajare peisajeră-agrement (parc, grădină, scuar ș.a.)",,"sec. XX","Patrimoniu reprezentativ","Splaiul Independenței 7."
1101,"CJ-II-a-A-07597","A",127,"CLUJ",55008,"municipiu","DEJ",55017,"DEJ","Ansamblul urban ""Centrul istoric Dej""","Zona delimitată de str. Titulescu, de la nr.16 la nr. 4, pe fundul de parcelă, str. Parcului, frontul vestic către Someș, Casina militară, limita parcelei nordice și estice, aleea pietonală de la nord de Tribunalul Dej, până la pârâul Salca, malul drept al pârâului Salca până la str. Mărășești, str. Mărășești frontul vestic, de la pod până la str. 1 Mai, limita estică si sudică a parcelei, str. Regina Maria nr.12, pârâul Salca, malul drept între str. 1 Mai și Crișan, str. Crișan frontul vestic, între pârâul Salca și str. Gutinului, limita sudică a parcelei din str. Gutinului nr.1l, limita dintre parcelele din str. Gutinului nr.12 și 10, limita dintre parcelele din str. Mioriței nr.10 și 12, str. Mioriței frontul sudic, limita dintre parcelele din str. Mioriței nr.2 si Piața Ștefan cel Mare nr.1, fundul de parcelă din Piața Ștefan cel mare nr.1 și 2A, limita sudică ș i vestică a parcelei din str. înfrățirii nr.1 (sinagoga), Piața Ștefan cel Mare frontul vestic, str. Aurel Vlaicu frontul vestic. Piața Lupeni frontul de parcelă de la nr.21 A până la nr.3, limita sudică și vestică a parcelei din Piața Lupeni nr.4, limita sudică a parcelei din str. Traian nr.1, limita dintre parcelele din str. Traian nr. 3 și 5, limita dintre parcelele din str. Traian nr.4 și 6, limita nordică a parcelei din str. Traian nr.4, limita dintre parcelele din str. lorga nr.4 si 6, frontul sud-estic al Pieței agro-alimentare, limita dintre parcelele din str. Titulescu nr. 7 și 9, str. Titulescu frontul sudic, limita estică, sudică și vestică a parcelei din str. Titulescu nr.17, până la limita vestică a parcelei din str. Titulescu nr.16.",,,,405200,"Stare medie",,,"sec. XVIII-XIX","Patrimoniu reprezentativ",
1106,"CJ-II-a-A-07600","A",127,"CLUJ",55008,"municipiu","DEJ",55017,"DEJ","Mănăstirea franciscană","Piața Bobâlna 16",47.142766,23.876493,240,405200,"Stare medie","Clădire de cult","Mănăstire","sec. XVIII","Patrimoniu religios",
1103,"CJ-II-m-A-07598","A",127,"CLUJ",55008,"municipiu","DEJ",55017,"DEJ","Biserica reformată","Piața Bobâlna 6",47.143018,23.873613,247,405200,"Stare medie","Clădire de cult","Biserică","sec. XV-XVIII","Patrimoniu religios","În curs de restaurare"
1107,"CJ-II-m-A-07600.01","A",127,"CLUJ",55008,"municipiu","DEJ",55017,"DEJ","Biserica romano - catolică “Sf. Anton din Padova""","Piața Bobâlna 16",47.142766,23.876493,240,405200,"Stare medie","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios","Elemente de tâmplărie înlocuite cu materiale care nu corespun perioadei."
1108,"CJ-II-m-A-07600.02","A",127,"CLUJ",55008,"municipiu","DEJ",55017,"DEJ","Claustrul mănăstirii","Piața Bobâlna 16",47.142766,23.876493,240,405200,"Stare medie","Clădire de cult","Claustru","sec. XVIII","Patrimoniu religios",
1102,"CJ-II-m-B-07596","B",127,"CLUJ",55008,"municipiu","DEJ",55017,"DEJ","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil""","Str. 1 Mai 12-16, în curtea Spitalului municipal Dej",47.140688,23.880897,238,405200,"Stare medie","Clădire de cult","Biserică",1829,"Patrimoniu religios",
1104,"CJ-II-m-B-07599","B",127,"CLUJ",55008,"municipiu","DEJ",55017,"DEJ","Casă","Piața Bobâlna 7",47.143605,23.874481,243,405200,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban","Tâmplărie înlocuită cu PVC."
1109,"CJ-II-m-B-07602","B",127,"CLUJ",55008,"municipiu","DEJ",55017,"DEJ","Casă","Str. Mircea cel Bătrân 7",47.142626,23.879343,237,405200,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1931,"Patrimoniu domestic urban",
1110,"CJ-II-m-B-07603","B",127,"CLUJ",55008,"municipiu","DEJ",55017,"DEJ","Sinagogă","Piața Ștefan cel Mare 1",47.140457,23.873645,243,405200,"Stare medie","Clădire de cult",,"sec. XX","Patrimoniu religios",
1111,"CJ-II-m-B-07604","B",127,"CLUJ",55008,"municipiu","DEJ",55017,"DEJ","Tribunalul Dej","Str. Titulescu Nicolae 2",47.144798,23.875834,239,405200,"Stare bună","Clădire cu destinație specială (poliție, S.R.I., armată ș.a.)",,"sec. XIX - XX","Patrimoniul administrativ",
1105,"CJ-II-m-B-20244","B",127,"CLUJ",55008,"municipiu","DEJ",55017,"DEJ","Casa Ioan Vaida-Voievod","Piața Bobâlna 11",47.143796,23.875523,241,405200,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1907,"Patrimoniu domestic urban","Tâmplărie înlocuită cu PVC. Fațadă încărcată cu firme luminoase și aparate de aer condiționat."
1245,"CJ-II-m-B-07726","B",127,"CLUJ",55008,"municipiu","DEJ",55026,"OCNA DEJULUI","Biserica romano - catolică",,47.117686,23.861437,262,405201,"Stare medie","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
1246,"CJ-II-m-B-07727","B",127,"CLUJ",55008,"municipiu","DEJ",55026,"OCNA DEJULUI","Biserica ""Sf. Gheorghe""","Str. Salbelor",47.120409,23.85971,316,405201,"Stare medie","Clădire de cult","Biserică",1776,"Patrimoniu religios",
1258,"CJ-II-m-B-07735","B",127,"CLUJ",55008,"municipiu","DEJ",55044,"PINTIC","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil""",123,47.07206,23.791138,451,405203,"-","Clădire de cult","Biserică","1822 - 1825","Patrimoniu religios",
1091,"CJ-II-m-B-07586","B",127,"CLUJ",55062,"comună","CUZDRIOARA",55071,"CUZDRIOARA","Conac, azi Școala generală Cuzdrioara","Str. Bărnuțiu Simion 1",47.16745,23.91309,243,407260,"-","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XIX","Patrimoniu reprezentativ",
1092,"CJ-II-m-B-07587","B",127,"CLUJ",55062,"comună","CUZDRIOARA",55071,"CUZDRIOARA","Biserica reformată","Str. Creangă Ion 1",47.167749,23.919458,239,407260,"-","Clădire de cult","Biserică","sec. XV","Patrimoniu religios",
1219,"CJ-II-a-A-07704","A",127,"CLUJ",55160,"comună","MICA",55197,"MĂNĂSTIREA","Castelul Kornis","160-161",47.118492,23.921097,254,407397,"Colaps","Clădire de locuit (unifamilială, colectivă ș.a.)","Castel","1512, ref. sec. XIX","Patrimoniu reprezentativ",
1227,"CJ-II-m-B-07709","B",127,"CLUJ",55160,"comună","MINTIU GHERLII",55179,"MICA","Biserica ""Sf. Arhangheli Mihail și Gavriil""",38,47.147112,23.926824,236,407396,"-","Clădire de cult","Biserică","sec. XIX","Patrimoniu religios","Sat Mica, comuna Mica."
1217,"CJ-II-m-B-07702","B",127,"CLUJ",55160,"comună","MICA",55197,"MĂNĂSTIREA","Biserica veche ortodoxă",63,47.120728,23.918407,240,407397,"Stare medie","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios","Biserica ”Sfântul Nicolae”"
1218,"CJ-II-m-B-07703","B",127,"CLUJ",55160,"comună","MICA",55197,"MĂNĂSTIREA","Biserica ""Sf. Nicolae""",86,47.116,23.921114,243,407397,"Stare medie","Clădire de cult","Biserică",1520,"Patrimoniu religios","Biserica ”Înălțarea Sfintei Cruci”"
1220,"CJ-II-m-B-07704.01","B",127,"CLUJ",55160,"comună","MICA",55197,"MĂNĂSTIREA","Aripa veche a castelului Kornis","160-161",47.118492,23.921097,254,407397,"Colaps","Clădire de locuit (unifamilială, colectivă ș.a.)","Castel","1512, ref. sec. XIX","Patrimoniu reprezentativ",
1221,"CJ-II-m-B-07704.02","B",127,"CLUJ",55160,"comună","MICA",55197,"MĂNĂSTIREA","Corpul neoclasic al castelului Kornis","160-161",47.119493,23.921746,261,407397,"Colaps","Clădire de locuit (unifamilială, colectivă ș.a.)","Castel","sec. XIX","Patrimoniu reprezentativ",
1222,"CJ-II-m-B-07704.03","B",127,"CLUJ",55160,"comună","MICA",55197,"MĂNĂSTIREA","Fântâna castelului Kornis","160-161",47.118788,23.921575,258,407397,"Pre-colaps","Amenajare peisajeră-agrement (parc, grădină, scuar ș.a.)",,"sec. XIX","Patrimoniu reprezentativ",
1244,"CJ-II-m-B-07725","B",127,"CLUJ",55160,"comună","MICA",55204,"NIREȘ","Biserica reformată",339,47.114345,23.981824,258,407398,"Stare medie","Clădire de cult","Biserică","sec. XIII","Patrimoniu religios",
1321,"CJ-II-m-A-07793","A",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Biserica reformată ""Turda Veche""","Str. Hașdeu Petriceicu Bogdan 1",46.571527,23.78503,331,401154,"Stare bună","Clădire de cult","Biserică","sec. XV","Patrimoniu religios","în curs de restaurare"
1322,"CJ-II-m-A-07794","A",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Palatul voievodal, azi Muzeul de Istorie Turda","Str. Hașdeu Petriceicu Bogdan 2",46.571955,23.784468,330,401154,"Stare foarte bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Castel","sec. XV - XVI","Patrimoniu reprezentativ",
1327,"CJ-II-m-A-07800","A",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Biserica romano-catolică","Piața Republicii 54",46.574524,23.784858,335,401095,"Stare bună","Clădire de cult","Biserică","1498 -1504","Patrimoniu religios","în curs de restaurare"
1328,"CJ-II-m-A-07801","A",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Salina Turda","Str. Salinelor 3",46.58408,23.777462,344,401106,"Stare foarte bună","Clădire pentru industrie","Galerie de mină","sec. XVIII","Patrimoniul industrial extractiv",
692,"CJ-II-a-B-21097","B",127,"CLUJ",,,,55268,"TURDA","Ansamblul ""Calea ferată îngustă Turda-Abrud""",,,,,,"-","Clădire pentru transport (gară, autogară ș.a.)",,,"Patrimoniul transporturilor",
693,"CJ-II-a-B-21097.01","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Turda gară",,46.5544,23.78951,,,"-","Clădire pentru transport (gară, autogară ș.a.)",,,"Patrimoniul transporturilor","Lipsă adresă. Poziție probabilă."
694,"CJ-II-a-B-21097.02","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Turda casă fost dormitor",,,,,,"-","Clădire pentru transport (gară, autogară ș.a.)","Locuire civilă",,"Patrimoniul transporturilor","Lipsă adresă. Neidentificată."
695,"CJ-II-a-B-21097.03","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Turda depozit de ulei",,46.560826,23.788494,,,"-","Clădire pentru transport (gară, autogară ș.a.)",,,"Patrimoniul transporturilor","Lipsă adresă. Poziție probabilă."
1313,"CJ-II-m-B-07787","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Fabrica de Bere","Piața Romană nr.17",46.564182,23.779131,329,401139,"Stare medie","Clădire pentru industrie",,"1756 -1814, extinsă 1880-1911","Patrimoniul industrial extractiv",
1315,"CJ-II-m-B-07788","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Prefectura veche","Piața 1 Decembrie 1918 nr. 28",46.568597,23.786212,328,401184,"Stare bună","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)","Edificiu public","1884 -1886","Patrimoniul administrativ",
1317,"CJ-II-m-B-07789","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Biserica reformată ""Turda Nouă""","Str. Basarabiei 12",46.579984,23.772904,342,401122,"Stare bună","Clădire de cult","Biserică",1504,"Patrimoniu religios",
1318,"CJ-II-m-B-07790","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Biserica reformată","Str. Câmpiei 57",46.56068,23.829922,310,401071,"Stare medie","Clădire de cult","Biserică","sec. XV","Patrimoniu religios",
1319,"CJ-II-m-B-07791","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Casă","Str. Coșbuc George 12",46.572845,23.782819,330,401150,"Stare bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","înc. sec. XX","Patrimoniu domestic urban",
1320,"CJ-II-m-B-07792","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Casă","Str. Coșbuc George 13",46.572442,23.782659,330,401150,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","înc. sec. XX","Patrimoniu domestic urban",
1323,"CJ-II-m-B-07795","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Ruinele cetății Turda","Str. Mircea Vodă 4",46.570934,23.785018,330,401089,"Colaps","Clădiri cu caracter militar (fortificații, cetăți etc.)","Cetate de piatră","sec. XIV - XV","Patrimoniu reprezentativ","Se află pe proprietate privată"
1324,"CJ-II-m-B-07796","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Casa parohială a bisericii reformate","Str. Rațiu loan, doctor 44",46.570487,23.782359,332,401151,"Stare bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
1325,"CJ-II-m-B-07798","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Casă","Piața Republicii 7",46.573503,23.784975,334,401095,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","înc. sec. XX","Patrimoniu domestic urban",
1326,"CJ-II-m-B-07799","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Casă","Piața Republicii 15",46.572143,23.78521,332,401095,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1901 -1902","Patrimoniu domestic urban",
1316,"CJ-II-m-B-21086","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Casa rurală","Piața 1 Decembrie 1918 5",46.569776,23.78498,329,401130,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",,"Patrimoniu domestic rural",
1314,"CJ-II-s-B-07797","B",127,"CLUJ",55259,"municipiu","TURDA",55268,"TURDA","Ansamblu urban","Zona delimitată de: limita de parcelă din str. Avram lancu nr. 10 și 12, fundul de parcelă din str. Avram lancu nr. 10-2, str. Castanilor frontul Nordic, str. Axente Sever frontul estic, str. Gheorghe Lazăr frontul estic, Gelu frontul estic, pârâul Racilor între str. Gelu și piața 1 Decembrie, fundul de parcelă din piața 1 Decembrie frontul estic, fundul de parcelă din piața 1 Decembrie frontul vestic până la pârâul Racilor, pârâul Racilor malul drept între piața 1 Decembrie și str. M. Eminescu , pârâul Racilor malul drept, de la str. M. Eminescu până la fundul de parcelă din str. Avram lancu nr. 9, limita de parcelă din str. Avram lancu nr. 9 și 11",,,,,"Stare medie",,,"sec. XVIII-XIX","Patrimoniu reprezentativ",
696,"CJ-II-a-B-21097.04","B",127,"CLUJ",55277,"comună","MIHAI VITEAZU",55286,"MIHAI VITEAZU","Mihai Viteazu gară",,46.535088,23.737712,332,407407,"Stare medie","Clădire pentru transport (gară, autogară ș.a.)",,,"Patrimoniul transporturilor","Locuință - proprietate privată"
1229,"CJ-II-m-B-07711","B",127,"CLUJ",55277,"comună","MIHAI VITEAZU",55286,"MIHAI VITEAZU","Biserica romano - catolică",,46.538349,23.747352,329,407407,"Stare medie","Clădire de cult","Biserică","sec. XIX","Patrimoniu religios",
1230,"CJ-II-m-B-07712","B",127,"CLUJ",55277,"comună","MIHAI VITEAZU",55286,"MIHAI VITEAZU","Biserica unitariană",477,46.540542,23.743453,330,407407,"Stare medie","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
1231,"CJ-II-m-B-07713","B",127,"CLUJ",55277,"comună","MIHAI VITEAZU",55286,"MIHAI VITEAZU","Biserica reformată",928,46.540015,23.743568,331,407407,"Stare medie","Clădire de cult","Biserică","1674 -1684","Patrimoniu religios",
1057,"CJ-II-m-B-07558","B",127,"CLUJ",55277,"comună","MIHAI VITEAZU",55295,"CHEIA","Biserica unitariană",180,46.540997,23.706844,358,407406,"Stare foarte bună","Clădire de cult","Biserică","sec. XVIII-XIX","Patrimoniu religios",
697,"CJ-II-a-B-21097.05","B",127,"CLUJ",55277,"comună","MIHAI VITEAZU",55302,"CORNEȘTI","Cornești haltă",,46.523471,23.684539,343,407407,"-","Clădire pentru transport (gară, autogară ș.a.)",,,"Patrimoniul transporturilor",
698,"CJ-II-a-B-21097.06","B",127,"CLUJ",55277,"comună","MIHAI VITEAZU",55302,"CORNEȘTI","Pod peste Arieș",,46.520933,23.675552,343,407407,"-",,,,"Patrimoniul transporturilor",
1083,"CJ-II-m-B-07580","B",127,"CLUJ",55277,"comună","MIHAI VITEAZU",55302,"CORNEȘTI","Biserica romano -catolică ""Sf. Emilia""",274,46.525381,23.696276,360,407407,"-","Clădire de cult","Biserică",1774,"Patrimoniu religios",
1276,"CJ-II-m-B-07751","B",127,"CLUJ",55311,"comună","SĂNDULEȘTI",55320,"SĂNDULEȘTI","Biserica ""Sf. Arhangheli Mihail și Gavriil""",164,46.578887,23.723196,451,407500,"Stare medie","Clădire de cult","Biserică","sec. XV","Patrimoniu religios","Alterată prin intervenții"
1277,"CJ-II-a-B-07752","B",127,"CLUJ",55320,"comună","SĂNDULEȘTI",55320,"SĂNDULEȘTI","Biserica unitariană",202,46.580257,23.720345,450,407500,"Stare medie","Clădire de cult","Biserică","sec. XV","Patrimoniu religios",
1078,"CJ-II-m-B-07575","B",127,"CLUJ",55320,"comună","SĂNDULEȘTI",55339,"COPĂCENI","Conacul Vitéz",501,46.593165,23.738229,378,407501,"Pre-colaps","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XIX","Patrimoniu domestic rural",
1053,"CJ-II-a-A-07556","A",127,"CLUJ",55357,"municipiu","CÂMPIA TURZII",55366,"CÂMPIA TURZII","Centrul civic comunitar interbelic Câmpia Turzii","Piața Mihai Viteazul 8-9",,,,,"-",,,"sec. XX","Patrimoniu reprezentativ",
1054,"CJ-II-m-A-07556.01","A",127,"CLUJ",55357,"municipiu","CÂMPIA TURZII",55366,"CÂMPIA TURZII","Clubul muncitoresc","Piața Mihai Viteazul 8",46.544361,23.886867,300,405100,"Stare medie","Clădire cu alte funcțiuni",,1939,"Patrimoniu reprezentativ",
1055,"CJ-II-m-A-07556.02","A",127,"CLUJ",55357,"municipiu","CÂMPIA TURZII",55366,"CÂMPIA TURZII","Biserica ortodoxă","Piața Mihai Viteazul 9",46.544166,23.886169,299,405100,"Stare bună","Clădire de cult","Biserică",1939,"Patrimoniu religios",
1050,"CJ-II-m-B-07553","B",127,"CLUJ",55357,"municipiu","CÂMPIA TURZII",55366,"CÂMPIA TURZII","Conacul Paget, azi Palatul Copiilor",,46.544884,23.888743,299,405100,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XIX","Patrimoniu reprezentativ",
1051,"CJ-II-m-B-07554","B",127,"CLUJ",55357,"municipiu","CÂMPIA TURZII",55366,"CÂMPIA TURZII","Conacul Bethlen, azi bibliotecă școlară","Str. 1 Decembrie 1918",46.542942,23.889172,297,405100,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XVIII","Patrimoniu reprezentativ",
1052,"CJ-II-m-B-07555","B",127,"CLUJ",55357,"municipiu","CÂMPIA TURZII",55366,"CÂMPIA TURZII","Biserica reformată","Piața Mihai Viteazul",46.545195,23.886242,300,405100,"Stare medie","Clădire de cult","Biserică",1680,"Patrimoniu religios",
1056,"CJ-II-m-B-07557","B",127,"CLUJ",55357,"municipiu","CÂMPIA TURZII",55366,"CÂMPIA TURZII","Conacul Betegh, azi grădiniță","Str. Teilor 10",46.541748,23.891646,297,405100,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XIX","Patrimoniu reprezentativ",
705,"CJ-II-m-B-21082","B",127,"CLUJ",55357,"municipiu","CÂMPIA TURZII",55366,"CÂMPIA TURZII","""Tribuna 1"" din Stadionul Municipal","Str Aurel Vlaicu 39",46.540711,23.884067,299,405100,"-","Clădire pentru sport",,,"Patrimoniu reprezentativ",
1133,"CJ-II-a-A-07623","A",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Ansamblul urban ""Centrul istoric al orașului Gherla""","Zona delimitată de: limita sudică a parcelei din str. 1 Decembrie nr. 46, fundul de parcelă al loturilor din str. 1 Decembrie nr.22 până la intersecția cu str. Speranția, str. Speranția frontul sudic până la Canalul Morii, canalul Morii de la intersecția cu str. Speranția până la parc, limita sudică, vestică și nordică a parcului, Canalul Morii până la râul Someș, râul Someș de la confluența cu Canalul Morii până la str. Luntrașilor, str. Sălciei frontul sudic, limita estică a cimitirului, str. M. Eminescu frontul estic, fundurile de parcelă din strada Fierarilor frontul nordic, fundurile de parcelă din strada I.Rebreanu frontul Nordic, calea ferată de la str. 1. Rebreanu până la str. Horea, fundurile de parcelă din str. Horea frontul sudic, spitalul din str. 1 Decembrie, fundul de parcelă, str.N. Bălcescu frontul estic, str. Al. Vlahuță frontul sudic, limita sudică a parcelei din str. 1 Decembrie nr.46.",,,,,"Stare medie","Clădire de locuit (unifamilială, co",,1700,"Patrimoniu domestic urban",
1159,"CJ-II-m-A-07647","A",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Catedrala armeano-catolică","Piața Libertății 6",47.027634,23.906992,255,405300,"Stare medie","Clădire de cult","Catedrală","1748 -1808","Patrimoniu religios",
1165,"CJ-II-m-A-07653","A",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casa Karácsony, azi Muzeul orașului Gherla","Str. Mihai Viteazul 6",47.029083,23.908922,256,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
1151,"CJ-II-a-B-07641","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Mănăstirea franciscanilor","Str. Bobâlna 8",47.029927,23.908099,256,405300,"Stare medie","Clădire de cult","Mănăstire","sec. XVIII-XIX","Patrimoniu religios",
1134,"CJ-II-m-B-07624","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 1",47.02711,23.906111,254,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă",1773,"Patrimoniu domestic urban",
1135,"CJ-II-m-B-07625","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 2",47.028148,23.906359,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă",1764,"Patrimoniu domestic urban",
1136,"CJ-II-m-B-07626","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 3",47.026984,23.906009,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
1137,"CJ-II-m-B-07627","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 4",47.02798,23.906281,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
1138,"CJ-II-m-B-07628","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 5",47.026871,23.905898,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă",1760,"Patrimoniu domestic urban",
1139,"CJ-II-m-B-07629","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 6",47.027849,23.906152,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sf. sec. XVIII","Patrimoniu domestic urban",
1140,"CJ-II-m-B-07630","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 7",47.026729,23.905818,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
1141,"CJ-II-m-B-07631","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 8",47.027695,23.906067,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
1142,"CJ-II-m-B-07632","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 10",47.027557,23.905948,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sf. sec. XVIII","Patrimoniu domestic urban",
1143,"CJ-II-m-B-07633","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 11",47.026406,23.905584,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
1144,"CJ-II-m-B-07634","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 12",47.027404,23.905827,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
1145,"CJ-II-m-B-07635","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 13",47.026229,23.905446,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
1146,"CJ-II-m-B-07636","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 14",47.027269,23.905715,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
1147,"CJ-II-m-B-07637","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. 1 Decembrie 1918 16",47.027097,23.905577,254,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă",1747,"Patrimoniu domestic urban",
1148,"CJ-II-m-B-07638","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Azilul de bătrâni","Str. 1 Decembrie 1918 46",47.024334,23.903346,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă",1800,"Patrimoniu domestic urban",
1149,"CJ-II-m-B-07639","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă","Str. Barițiu George 1 și Piața Libertății 6",47.027899,23.908214,255,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sec. XVIII-XIX","Patrimoniu domestic urban",
1150,"CJ-II-m-B-07640","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Casă, azi Capela baptistă","Str. Barițiu George 2",47.027094,23.909542,254,405300,"Stare medie","Clădire de locuit (unifamilială, co","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
1152,"CJ-II-m-B-07641.01","B",127,"CLUJ",55384,"oraș","GHERLA",55393,"GHERLA","Biserica mănăstirii franciscane","Str. Bobâlna 8",47.029927,23.908099,256,405300,"Stare medie","Clădire de cult","Biserică","sec. XVIII-XIX","Patrimoniu religios",
